area_code,migrant?,male?,muslim?,age,value
1,false,false,true,81,42.8
1,false,false,true,82,42.8
1,false,false,true,83,42.8
1,false,false,true,84,42.8
1,false,false,true,85,42.8
1,false,false,true,86,42.8
1,false,false,true,87,42.8
1,false,false,true,88,42.8
1,false,false,true,89,42.8
1,false,false,true,90,42.8
1,false,false,true,91,42.8
1,false,false,true,92,42.8
1,false,false,true,93,42.8
1,false,false,true,94,42.8
1,false,false,true,95,42.8
1,false,false,true,96,42.8
1,false,false,true,97,42.8
1,false,false,true,98,42.8
1,false,false,true,99,42.8
1,false,false,true,100,42.8
1,false,false,true,101,42.8
1,false,false,true,102,42.8
1,false,false,true,103,42.8
1,false,false,true,104,42.8
1,false,false,true,105,42.8
1,false,false,true,106,42.8
1,false,false,true,107,42.8
1,false,false,true,108,42.8
1,false,false,true,109,42.8
1,false,false,true,110,42.8
1,false,false,true,111,42.8
1,false,false,true,112,42.8
1,false,false,true,113,42.8
1,false,false,true,114,42.8
1,false,false,true,115,42.8
1,false,false,true,116,42.8
1,false,false,true,117,42.8
1,false,false,true,118,42.8
1,false,false,true,119,42.8
1,false,true,false,16,18.333333333333332
1,false,true,false,17,18.333333333333332
1,false,true,false,18,100.57142857142857
1,false,true,false,19,100.57142857142857
1,false,true,false,20,100.57142857142857
1,false,true,false,21,100.57142857142857
1,false,true,false,22,100.57142857142857
1,false,true,false,23,100.57142857142857
1,false,true,false,24,100.57142857142857
1,false,true,false,25,261.8333333333333
1,false,true,false,26,261.8333333333333
1,false,true,false,27,261.8333333333333
1,false,true,false,28,261.8333333333333
1,false,true,false,29,261.8333333333333
1,false,true,false,30,261.8333333333333
1,false,true,false,31,261.8333333333333
1,false,true,false,32,261.8333333333333
1,false,true,false,33,261.8333333333333
1,false,true,false,34,261.8333333333333
1,false,true,false,35,261.8333333333333
1,false,true,false,36,261.8333333333333
1,false,true,false,37,261.8333333333333
1,false,true,false,38,261.8333333333333
1,false,true,false,39,261.8333333333333
1,false,true,false,40,261.8333333333333
1,false,true,false,41,261.8333333333333
1,false,true,false,42,261.8333333333333
1,false,true,false,43,261.8333333333333
1,false,true,false,44,261.8333333333333
1,false,true,false,45,261.8333333333333
1,false,true,false,46,261.8333333333333
1,false,true,false,47,261.8333333333333
1,false,true,false,48,261.8333333333333
1,false,true,false,49,261.8333333333333
1,false,true,false,50,261.8333333333333
1,false,true,false,51,261.8333333333333
1,false,true,false,52,261.8333333333333
1,false,true,false,53,261.8333333333333
1,false,true,false,54,261.8333333333333
1,false,true,false,55,184.8
1,false,true,false,56,184.8
1,false,true,false,57,184.8
1,false,true,false,58,184.8
1,false,true,false,59,184.8
1,false,true,false,60,184.8
1,false,true,false,61,184.8
1,false,true,false,62,184.8
1,false,true,false,63,184.8
1,false,true,false,64,184.8
1,false,true,false,65,103.66666666666667
1,false,true,false,66,103.66666666666667
1,false,true,false,67,103.66666666666667
1,false,true,false,68,103.66666666666667
1,false,true,false,69,103.66666666666667
1,false,true,false,70,103.66666666666667
1,false,true,false,71,103.66666666666667
1,false,true,false,72,103.66666666666667
1,false,true,false,73,103.66666666666667
1,false,true,false,74,103.66666666666667
1,false,true,false,75,103.66666666666667
1,false,true,false,76,103.66666666666667
1,false,true,false,77,103.66666666666667
1,false,true,false,78,103.66666666666667
1,false,true,false,79,103.66666666666667
1,false,true,false,80,11.125
1,false,true,false,81,11.125
1,false,true,false,82,11.125
1,false,true,false,83,11.125
1,false,true,false,84,11.125
1,false,true,false,85,11.125
1,false,true,false,86,11.125
1,false,true,false,87,11.125
1,false,true,false,88,11.125
1,false,true,false,89,11.125
1,false,true,false,90,11.125
1,false,true,false,91,11.125
1,false,true,false,92,11.125
1,false,true,false,93,11.125
1,false,true,false,94,11.125
1,false,true,false,95,11.125
1,false,true,false,96,11.125
1,false,true,false,97,11.125
1,false,true,false,98,11.125
1,false,true,false,99,11.125
1,false,true,false,100,11.125
1,false,true,false,101,11.125
1,false,true,false,102,11.125
1,false,true,false,103,11.125
1,false,true,false,104,11.125
1,false,true,false,105,11.125
1,false,true,false,106,11.125
1,false,true,false,107,11.125
1,false,true,false,108,11.125
1,false,true,false,109,11.125
1,false,true,false,110,11.125
1,false,true,false,111,11.125
1,false,true,false,112,11.125
1,false,true,false,113,11.125
1,false,true,false,114,11.125
1,false,true,false,115,11.125
1,false,true,false,116,11.125
1,false,true,false,117,11.125
1,false,true,false,118,11.125
1,false,true,false,119,11.125
1,false,true,true,16,80.33333333333333
1,false,true,true,17,80.33333333333333
1,false,true,true,18,227.14285714285714
1,false,true,true,19,227.14285714285714
1,false,true,true,20,227.14285714285714
1,false,true,true,21,227.14285714285714
1,false,true,true,22,227.14285714285714
1,false,true,true,23,227.14285714285714
1,false,true,true,24,227.14285714285714
1,false,true,true,25,491
1,false,true,true,26,491
1,false,true,true,27,491
1,false,true,true,28,491
1,false,true,true,29,491
1,false,true,true,30,491
1,false,true,true,31,491
1,false,true,true,32,491
1,false,true,true,33,491
1,false,true,true,34,491
1,false,true,true,35,491
1,false,true,true,36,491
1,false,true,true,37,491
1,false,true,true,38,491
1,false,true,true,39,491
1,false,true,true,40,491
1,false,true,true,41,491
1,false,true,true,42,491
1,false,true,true,43,491
1,false,true,true,44,491
1,false,true,true,45,491
1,false,true,true,46,491
